neighbourhood_name,median_appreciation,mean_appreciation,property_count,median_value_2022,median_value_2024
STILLWATER,17.896106695621278,16.499935128814652,452,327750.0,385750.0
DECOTEAU,17.373310717176086,18.965406129976802,56,800000.0,942750.0
KINGLET GARDENS,15.992723119955423,17.964441453777717,172,490250.0,575750.0
CRYSTALLINA NERA EAST,15.59432933478735,16.088192281429684,77,393000.0,465000.0
WESTBROOK ESTATE,14.654744162940883,16.12716042895525,307,980500.0,1138500.0
OGILVIE RIDGE,14.306927117531188,12.816364852752827,360,612500.0,700750.0
ASTER,13.602711390886215,14.543664190364973,172,433500.0,502000.0
GLENRIDDING RAVINE,13.477537437603992,14.162382359877315,799,456500.0,521000.0
CAVANAGH,13.080229990861731,14.833327759750427,926,389000.0,446500.0
THE UPLANDS,12.740195934864104,11.461774631602255,578,400500.0,464750.0
GRAYDON HILL,12.447648172418816,12.3920248307638,466,368500.0,414750.0
CHAPPELLE AREA,12.32371957767829,11.838948715058775,4094,374500.0,425750.0
STEWART GREENS,12.004662004662006,13.031607033931909,447,427500.0,481000.0
EDGEMONT,11.961206896551724,11.172918163642807,2049,395000.0,447000.0
HAWKS RIDGE,11.9140625,12.853670773633219,389,485500.0,545500.0
PAISLEY,11.09544303145653,11.255784634537639,828,370500.0,420500.0
DESROCHERS AREA,10.800508259212197,12.03192361159373,913,402000.0,453500.0
GLENRIDDING HEIGHTS,10.714285714285714,10.929111092094505,1486,393500.0,437750.0
ALLARD,10.638464108561003,6.711984385289871,2952,376500.0,420000.0
MAPLE,10.186092066601372,10.298840948250097,1267,374500.0,416000.0
THE ORCHARDS AT ELLERSLIE,10.16949152542373,10.413332360282686,2443,386500.0,430500.0
SECORD,10.06711409395973,10.261430683095526,2751,424500.0,470500.0
LAUREL,10.0,10.732639967318345,3652,395000.0,439500.0
KESWICK AREA,9.798657718120806,11.281687323762128,1785,507000.0,569500.0
MAPLE RIDGE,9.722222222222223,10.881662759320701,829,34500.0,38500.0
QUESNELL HEIGHTS,9.553738019507428,10.496354699222142,124,724500.0,804500.0
HAYS RIDGE AREA,9.532374100719425,9.951030480682455,265,945000.0,1034500.0
SUMMERSIDE,9.313494918193054,8.085466231967981,4932,415500.0,458000.0
